id,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,A1
1,7,5,2,7,1,4,7,9,3,2,3
2,5,4,3,7,6,6,4,9,1,1,7
3,7,5,4,1,3,3,5,-1,3,2,6
4,5,2,2,6,2,5,6,1,3,1,6
5,3,7,1,2,5,3,2,-2,2,6,6
6,3,5,1,6,3,3,3,1,5,5,6
7,3,1,3,1,4,4,4,7,6,5,4
8,2,4,2,6,3,6,2,7,2,5,6
9,4,5,7,1,3,4,7,-2,6,6,5
10,3,7,3,5,5,4,4,8,6,1,3
11,1,3,6,4,3,4,7,0,2,7,2
12,1,5,2,6,3,3,2,1,3,7,5
13,1,2,7,6,3,3,3,0,2,7,6
14,7,3,3,7,7,2,3,-2,3,6,1
15,2,7,2,4,3,4,7,7,2,2,2
16,2,4,2,6,2,4,2,1,2,5,6
17,7,7,5,5,1,6,2,-1,2,1,1
18,4,5,7,1,3,6,6,0,2,1,1
19,1,6,4,2,4,6,7,8,3,2,4
20,3,7,2,6,5,4,6,0,1,6,2
21,3,5,3,1,3,3,3,-2,1,6,3
22,3,7,6,3,2,5,2,7,1,7,2
23,7,3,2,2,3,7,3,0,2,7,4
24,2,5,2,6,3,2,3,0,5,6,3
25,4,7,6,6,5,6,2,9,2,1,2
26,5,5,7,7,4,3,7,9,3,6,5
27,2,5,2,1,3,2,4,1,6,6,2
28,2,2,2,6,3,3,5,7,2,7,7
29,1,4,5,3,5,3,4,7,3,6,7
30,1,7,7,,3,5,4,0,,1,6
31,1,6,7,2,5,5,2,0,6,2,6
32,7,7,2,6,1,3,6,7,3,1,2
33,1,5,1,1,3,5,3,8,3,6,2
34,4,4,6,2,6,7,6,-1,1,5,2
35,4,7,3,1,5,2,4,-1,2,1,3
36,5,5,2,6,3,3,6,-1,2,2,5
37,1,2,2,4,5,6,2,8,5,1,2
38,7,2,1,3,6,2,3,1,5,7,1
39,3,5,6,2,3,3,6,0,3,7,5
40,1,7,2,6,5,2,4,0,1,2,2
41,7,6,3,5,1,4,2,-1,5,2,2
42,5,5,3,4,3,6,2,9,1,1,6
43,5,2,1,4,6,5,5,7,3,2,2
44,2,3,2,6,7,6,4,-1,6,5,6
45,2,7,3,1,3,6,4,9,5,2,5
46,4,5,4,1,5,2,4,-2,6,6,1
47,1,5,7,1,7,3,4,0,2,1,4
48,3,5,2,6,3,3,4,9,1,5,5
49,5,6,3,6,6,3,5,7,5,2,4
50,4,7,6,6,5,4,4,0,5,2,6
51,2,5,4,2,3,6,7,9,5,5,2
52,1,5,2,6,3,7,5,1,6,1,2
53,1,2,6,4,6,2,6,9,2,5,5
54,7,5,6,1,3,4,7,-1,5,7,2
55,7,7,1,1,5,3,2,7,5,5,5
56,3,2,2,6,2,4,3,9,5,6,3
57,2,5,2,6,3,7,4,-2,5,1,4
58,5,7,6,4,7,3,6,0,5,2,5
59,4,2,3,4,4,6,2,-2,5,6,7
60,1,7,2,6,3,6,4,0,3,1,6
61,4,5,5,7,1,3,4,0,6,6,6
62,7,3,6,4,2,4,2,7,3,7,4
63,2,5,3,1,3,3,3,-1,6,2,4
64,2,4,2,6,4,6,4,-2,3,2,3
65,6,7,3,1,5,6,4,7,5,7,5
66,5,5,1,6,3,2,4,1,1,7,5
67,5,5,7,4,6,7,4,9,6,7,5
68,7,5,2,6,3,3,4,7,2,1,5
69,7,5,1,7,3,3,3,-2,6,6,1
70,4,7,3,2,5,3,2,-2,6,1,3
71,7,2,6,5,6,6,4,7,6,2,2
72,3,5,2,,3,4,4,8,,2,5
73,1,1,6,1,7,5,5,-2,2,5,6
74,4,5,6,7,5,3,3,-2,2,5,2
75,3,7,6,2,3,5,3,-1,1,1,2
76,5,6,2,6,1,5,5,7,3,2,1
77,1,3,3,7,7,7,2,8,6,2,4
78,4,5,2,3,3,5,4,0,1,2,4
79,5,3,7,1,6,2,6,-1,2,6,4
80,1,7,2,,5,5,5,9,,5,6
81,5,5,7,1,3,3,7,8,5,6,2
82,5,3,4,1,3,3,5,0,6,1,3
83,6,7,1,5,2,7,3,1,6,2,4
84,7,5,2,6,3,3,7,1,1,2,4
85,6,7,2,2,5,6,4,0,3,2,3
86,3,1,6,4,3,7,7,8,5,5,4
87,2,5,2,7,3,6,4,7,3,7,6
88,7,3,2,6,5,3,2,-1,2,5,5
89,5,6,1,1,5,7,7,0,1,6,1
90,3,7,2,1,3,2,3,7,5,7,3
91,3,3,3,4,7,5,5,7,1,2,2
92,7,7,2,6,7,3,6,-2,2,5,6
93,5,5,3,4,3,2,2,7,5,1,6
94,7,4,4,1,3,6,4,1,6,5,5
95,1,7,1,5,5,7,7,1,6,6,2
96,4,5,2,6,3,3,4,9,2,5,2
97,7,6,4,5,3,5,5,-1,1,2,4
98,2,1,3,5,1,6,4,0,5,6,6
99,6,5,2,1,3,3,7,9,5,5,2
100,2,7,2,6,5,3,5,-2,1,7,2
101,6,4,7,5,2,4,4,1,2,1,7
102,1,5,3,7,3,6,6,-2,3,1,6
103,6,4,2,5,4,6,6,-1,5,2,6
104,7,6,2,6,1,7,4,9,2,6,4
105,3,7,3,1,3,5,6,-2,5,1,3
106,6,1,7,3,7,2,7,9,6,7,5
107,1,7,1,3,1,6,7,0,5,6,4
108,1,5,2,6,3,2,6,9,5,7,6
109,7,5,2,1,4,6,2,9,2,5,5
110,7,7,5,2,5,2,7,8,3,2,3
111,7,5,6,4,3,7,2,1,6,5,4
112,5,4,2,6,2,6,6,-2,3,1,7
113,5,3,3,3,5,2,6,8,3,5,3
114,6,5,6,6,3,5,2,9,5,7,7
115,2,7,5,2,5,3,4,7,2,1,3
116,5,7,2,6,6,7,4,1,5,2,4
117,7,5,7,1,3,5,5,-2,2,5,6
118,6,6,2,6,5,3,2,7,1,7,7
119,5,2,3,1,4,7,2,1,3,5,1
120,6,7,2,6,3,3,2,-2,1,1,2
121,3,7,7,5,1,2,2,8,1,1,7
122,5,3,6,4,1,4,5,1,6,2,4
123,1,5,4,1,3,5,4,-1,5,2,7
124,7,3,2,6,5,5,6,9,2,6,3
125,1,7,7,6,5,3,4,7,5,2,3
126,1,5,3,1,3,2,6,8,5,2,4
127,7,7,4,2,1,3,2,0,3,1,4
128,5,2,2,6,6,7,3,1,6,5,4
129,2,5,2,6,3,4,3,9,2,6,6
130,4,7,4,1,5,4,7,-1,1,5,1
131,4,4,5,4,2,4,6,1,2,7,1
132,4,5,2,6,3,3,6,-1,3,1,6
133,3,1,3,3,4,4,4,-2,6,7,3
134,1,5,4,4,2,3,7,0,6,5,3
135,1,,,1,,,,,3,,
136,2,5,2,6,1,7,3,7,3,6,3
137,2,3,3,4,4,2,5,9,2,5,2
138,4,5,2,6,3,2,6,9,5,2,5
139,1,5,5,7,3,3,5,8,6,5,4
140,2,7,2,6,5,3,7,8,5,2,3
141,4,5,6,1,3,7,6,7,3,1,6
142,2,5,4,5,1,7,4,9,1,7,1
143,3,2,6,7,2,4,4,-2,1,2,1
144,7,5,2,6,3,4,2,1,5,1,5
145,4,7,5,7,5,3,4,-1,1,1,7
146,5,5,6,6,7,2,5,-2,2,2,1
147,4,5,3,2,3,2,7,-2,5,6,4
148,7,6,2,6,5,6,7,1,2,6,3
149,7,4,6,6,6,5,5,8,1,1,7
150,5,7,1,4,3,5,3,9,3,1,6
151,2,3,4,4,5,3,3,8,5,5,4
152,3,,,6,,,,,5,,
153,7,5,6,1,3,6,2,0,5,5,4
154,2,6,3,4,1,4,2,8,1,7,5
155,7,7,5,5,5,6,6,8,6,7,7
156,5,5,2,6,3,3,4,-2,1,1,7
157,3,4,5,7,3,6,5,8,3,6,4
158,6,4,7,3,4,3,6,1,3,1,5
159,3,5,7,2,3,3,6,1,5,7,7
160,3,7,2,6,5,7,6,8,6,6,7
161,4,7,3,7,2,4,6,9,5,5,2
162,6,5,7,1,3,2,5,8,3,6,3
163,5,1,6,6,7,3,4,7,3,5,4
164,1,3,2,6,1,3,4,9,5,2,5
165,7,7,1,2,3,5,4,1,2,6,5
166,7,3,4,4,2,6,2,8,6,6,6
167,2,4,3,4,5,5,5,8,1,6,2
168,1,5,2,6,3,3,6,1,3,1,6
169,4,4,4,5,7,4,4,0,6,1,1
170,7,7,1,5,5,7,4,8,5,2,2
171,6,5,4,1,3,3,4,-1,1,2,4
172,3,7,2,6,6,7,4,7,2,5,3
173,6,3,4,5,7,3,2,9,5,1,5
174,1,5,3,5,3,2,2,-1,5,1,4
175,2,7,3,1,5,3,3,1,2,1,6
176,1,1,2,6,7,3,2,-1,1,1,5
177,1,5,7,1,3,5,4,7,3,2,7
178,6,7,2,4,2,3,5,9,1,2,4
179,3,5,4,7,7,5,2,0,6,6,6
180,7,7,2,6,3,3,4,8,5,1,5
181,7,6,2,2,5,7,6,0,5,7,4
182,2,3,3,5,6,2,2,-2,6,1,5
183,1,5,4,4,3,7,5,7,1,1,4
184,3,7,2,6,1,6,4,-2,1,2,5
185,4,7,4,6,5,3,2,1,5,1,4
186,6,5,3,1,3,3,3,8,2,1,6
187,7,1,6,2,4,4,6,-2,2,1,1
188,5,7,2,6,4,7,3,-1,3,1,5
189,5,5,3,1,3,3,7,8,2,7,6
190,7,7,6,1,5,7,4,1,6,6,1
191,5,7,3,1,5,5,4,9,6,2,4
192,7,5,2,6,3,3,4,1,1,2,1
193,7,7,3,5,4,5,6,-2,5,6,3
194,7,1,5,5,5,6,4,7,2,1,2
195,3,7,3,3,3,6,4,-1,6,1,5
196,1,6,2,6,6,5,4,7,6,1,7
197,4,,,1,,,,,6,,
198,4,5,3,1,3,3,6,1,6,7,3
199,4,5,6,1,2,4,2,0,3,5,1
200,4,7,2,6,5,3,3,7,2,1,6
201,7,5,2,,3,4,6,9,,5,5
202,6,3,2,1,5,6,7,0,1,2,4
